date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:29	135441/135441	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2014:14:27%20GMT	https://packdigital.click/material-decargable-capcut	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/material-decargable-capcut.html	(from )
15:17:29	128/128	---M-Z	200	added ('OK')	text/plain	date:Fri,%2026%20Apr%202024%2020:17:26%20GMT	https://packdigital.click/robots.txt		(from )
15:17:30	41482/41482	---MCZ	200	added ('OK')	text/css	etag:W/%2264ee53d5-a20a%22	https://packdigital.click/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.2.2	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/themes/astra/assets/css/minified/main.min3a05.css	(from https://packdigital.click/material-decargable-capcut)
15:17:30	135441/135441	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2014:14:27%20GMT	https://packdigital.click/material-decargable-capcut/	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/material-decargable-capcut/index.html	(from https://packdigital.click/material-decargable-capcut)
15:17:31	12061/12061	---MCZ	200	added ('OK')	text/css	etag:W/%2264ee2766-2f1d%22	https://packdigital.click/wp-content/plugins/wpfunnels/includes/core/widgets/block/assets/dist/wpfnl-blocks-style.css?ver=2.0.3	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/wpfunnels/includes/core/widgets/block/assets/dist/wpfnl-blocks-styleb95e.css	(from https://packdigital.click/material-decargable-capcut)
15:17:31	2/2	---M--	200	added ('OK')	text/css	etag:%2264ee276c-2%22	https://packdigital.click/wp-content/plugins/wpfunnels-pro/includes/core/widgets/block/assets/dist/wpfnl-blocks-style.css?ver=1.0.0	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/wpfunnels-pro/includes/core/widgets/block/assets/dist/wpfnl-blocks-style8a54.css	(from https://packdigital.click/material-decargable-capcut)
15:17:31	19653/19653	---MCZ	200	added ('OK')	text/css	etag:W/%2265bc6d07-4cc5%22	https://packdigital.click/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.27.0	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min50c3.css	(from https://packdigital.click/material-decargable-capcut)
15:17:32	118650/118650	---MCZ	200	added ('OK')	text/css	etag:W/%2265bc6d07-1cf7a%22	https://packdigital.click/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.19.0	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/elementor/assets/css/frontend-lite.min225e.css	(from https://packdigital.click/material-decargable-capcut)
15:17:32	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2265bc6d07-4057%22	https://packdigital.click/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://packdigital.click/material-decargable-capcut)
15:17:32	1172/1172	---MCZ	200	added ('OK')	text/css	etag:W/%2265bc7078-494%22	https://packdigital.click/wp-content/uploads/elementor/css/post-196.css?ver=1706848376	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/uploads/elementor/css/post-1965037.css	(from https://packdigital.click/material-decargable-capcut)
15:17:32	11764/11764	---MCZ	200	added ('OK')	text/css	etag:W/%226514cc27-2df4%22	https://packdigital.click/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.16.2	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min6b60.css	(from https://packdigital.click/material-decargable-capcut)
15:17:33	9267/9267	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2026%20Apr%202024%2013:55:31%20GMT	https://packdigital.click/feed/	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/feed/index.html	(from https://packdigital.click/material-decargable-capcut)
15:17:33	40376/40376	---MCZ	200	added ('OK')	text/css	etag:W/%2265bc7079-9db8%22	https://packdigital.click/wp-content/uploads/elementor/css/global.css?ver=1706848377	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/uploads/elementor/css/global7ff2.css	(from https://packdigital.click/material-decargable-capcut)
15:17:33	1723/1723	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2026%20Apr%202024%2013:55:31%20GMT	https://packdigital.click/comments/feed/	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/comments/feed/index.html	(from https://packdigital.click/material-decargable-capcut)
15:17:33	9871/9871	---MCZ	200	added ('OK')	text/css	etag:W/%22662a5afc-268f%22	https://packdigital.click/wp-content/uploads/elementor/css/post-1136.css?ver=1714051836	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/uploads/elementor/css/post-11367189.css	(from https://packdigital.click/material-decargable-capcut)
15:17:33	3443/3443	---MCZ	200	added ('OK')	text/css	etag:W/%2265caa751-d73%22	https://packdigital.click/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9.9	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min4dc9.css	(from https://packdigital.click/material-decargable-capcut)
15:17:33	2001/2001	---MCZ	200	added ('OK')	text/css	etag:W/%2264ee276c-7d1%22	https://packdigital.click/wp-content/plugins/wpfunnels-pro/public/assets/css/wpfnl-pro-public.css?ver=1.9.6	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/wpfunnels-pro/public/assets/css/wpfnl-pro-public055b.css	(from https://packdigital.click/material-decargable-capcut)
15:17:34	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2265bc6d07-e238%22	https://packdigital.click/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://packdigital.click/material-decargable-capcut)
15:17:34	677/677	---MCZ	200	added ('OK')	text/css	etag:W/%2265bc6d07-2a5%22	https://packdigital.click/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	E:/2.%20paginas/CAPCUT%20PRO/CAPCUT%20PRO%20MATERIAL/packdigital.click/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://packdigital.click/material-decargable-capcut)
